school_name,school_section,cca_grouping_desc,cca_generic_name,cca_customized_name
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,ROPE SKIPPING,ROPE SKIPPING
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,CUB SCOUTS
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,ANGKLUNG ENSEMBLE
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,HARMONICA ENSEMBLE,HARMONICA ENSEMBLE
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,CHINESE DANCE
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,INDIAN DANCE,INDIAN DANCE
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,MALAY DANCE
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,PHOTOGRAPHY,PHOTOGRAPHY CLUB
AHMAD IBRAHIM PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,FOOTBALL,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,TRACK AND FIELD,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,ST JOHN BRIGADE,ST JOHN BRIGADE
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,SCOUTS,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,CHINESE ORCHESTRA
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,BAND - SYMPHONIC,CONCERT BAND
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,DANCE - INTERNATIONAL,DANCE ENSEMBLE
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ORATORICAL DEBATE & DRAMA SOCIETY
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,GREEN CLUB,GREEN SERVICE CLUB
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,SHOOTING,SHOOTING
AHMAD IBRAHIM SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BASKETBALL,na
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB
AI TONG SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,na
AI TONG SCHOOL,PRIMARY,PHYSICAL SPORTS,ARTISTIC GYMNASTICS,na
AI TONG SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
AI TONG SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRL GUIDES (BROWNIES),na
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,na
AI TONG SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,DANCE
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,HARMONICA ENSEMBLE,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DRUMS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,CHINESE CULTURE AND LANGUAGE,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,RUGBY,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,SOFTBALL,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TCHOUKBALL,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INTERNATIONAL CHESS,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na
ALEXANDRA PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,CHEERLEADING,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,BASKETBALL
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,NETBALL,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,WUSHU,WUSHU
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FLOORBALL,FLOORBALL
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,GUZHENG ENSEMBLE
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,HANDBELL ENSEMBLE,HANDBELLS ENSEMBLE
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,MODERN DANCE
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),DIGITAL MEDIA
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,DRAMA
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,CHINESE DRUMS,FESTIVE DRUMS
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INTERNATIONAL CHESS,na
ANCHOR GREEN PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,BOYS' BRIGADE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,GIRLS' BRIGADE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE ENSEMBLE
ANDERSON PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
ANDERSON PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,na
ANDERSON PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,SOCCER
ANDERSON PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,VOLLEYBALL,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ANGKLUNG/KULINTANG ENSEMBLE,na
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,GUITAR
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,BRASS BAND,BRASS BAND
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,GUZHENG ENSEMBLE,GUZHENG
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ENGLISH DRAMA CLUB
ANDERSON PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB
ANDERSON PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na
ANDERSON PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),INFOCOMM CLUB
ANDERSON SECONDARY SCHOOL,SECONDARY,OTHERS,STUDENT LEADERSHIP (COUNCIL),na
ANDERSON SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BASKETBALL,na
ANDERSON SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,NETBALL,na
ANDERSON SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,FOOTBALL,na
ANDERSON SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na
ANDERSON SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,WUSHU,na
ANDERSON SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,na
ANDERSON SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na
ANDERSON SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
ANDERSON SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na
ANDERSON SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ANDERSON SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE DANCE,na
ANDERSON SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,na
ANDERSON SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ANDERSON THEATRE CIRCLE
ANDERSON SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,na
ANDERSON SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na
ANDERSON SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na
ANDERSON SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,BIOLOGICAL SCIENCE,ANDERSON SCIENCE ACADEMY
ANDERSON SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,ROBOTICS,na
ANDERSON SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CHOIR,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,HARMONICA ENSEMBLE,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,STAGEWORKS
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,AUDIO VISUAL AID,AVA CLUB
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,DEBATE & CREATIVE COMMUNICATIONS
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,PHOTOGRAPHY,PHOTOGRAPHIC SOCIETY
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,SCIENCE SOCIETY,STEM INC
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,VISUAL ARTS CLUB,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SHOOTING,SHOOTING
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BADMINTON,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,BASKETBALL,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,HOCKEY,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,NETBALL,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FOOTBALL,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,SQUASH,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TABLE TENNIS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TENNIS,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TAEKWONDO,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,VOLLEYBALL,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,FRISBEE,na
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE SOCIETY
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,POP AND JAZZ,MUSIC CLUB
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,"CHINESE LANGUAGE, DRAMA AND DEBATING",CLDDS
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,"INDIAN LANGUAGE, DRAMA AND DEBATING",TLDDS
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,TOUCH RUGBY,TOUCH FOOTBALL
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,OUTDOOR ADVENTURE,ODAC
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,PHYSICAL SPORTS,ROCKWALL CLIMBING,SPORTS CLIMBING
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,VISUAL AND PERFORMING ARTS,CONCERT BAND,SYMPHONIC BAND
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,COMMUNITY SERVICE (FIRST AID),RED CROSS YOUTH
ANDERSON SERANGOON JUNIOR COLLEGE,JUNIOR COLLEGE,CLUBS AND SOCIETIES,COMMUNITY SERVICE,INTERACT CLUB
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BADMINTON,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,NETBALL,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TRACK AND FIELD,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,TABLE TENNIS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,RED CROSS YOUTH,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,BRASS BAND,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,ROBOTICS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,BASKETBALL,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,PHYSICAL SPORTS,FOOTBALL,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,UNIFORMED GROUPS,SCOUTS,na
ANG MO KIO PRIMARY SCHOOL,PRIMARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (COMPUTING),na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,ENVIRONMENTAL SCIENCE,Environmental Club
ANG MO KIO SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BADMINTON,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,BASKETBALL,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,NETBALL,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,FOOTBALL,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,PHYSICAL SPORTS,VOLLEYBALL,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,GIRL GUIDES,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL POLICE CADET CORPS,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,RED CROSS YOUTH,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (AIR),na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ANG MO KIO SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,MALAY DANCE,MALAY DANCE
ANG MO KIO SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,Drama Club
ANG MO KIO SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,Symphonic Band
ANG MO KIO SECONDARY SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,ART AND CRAFTS,ART CLUB
ANG MO KIO SECONDARY SCHOOL,SECONDARY,CLUBS AND SOCIETIES,AUDIO VISUAL AID,AV MEDIA CLUB
ANGLICAN HIGH SCHOOL,SECONDARY,UNIFORMED GROUPS,NATIONAL CADET CORPS (LAND),na
ANGLICAN HIGH SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE ORCHESTRA,CHINESE ORCHESTRA
ANGLICAN HIGH SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHOIR,na
ANGLICAN HIGH SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,GUITAR ENSEMBLE,GUITAR ENSEMBLE
ANGLICAN HIGH SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,MODERN DANCE,DANCE SOCIETY
ANGLICAN HIGH SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CHINESE DRAMA,CHINESE DRAMA
ANGLICAN HIGH SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,ENGLISH DRAMA,ENGLISH DRAMA
ANGLICAN HIGH SCHOOL,SECONDARY,VISUAL AND PERFORMING ARTS,CONCERT BAND,CONCERT BAND
ANGLICAN HIGH SCHOOL,SECONDARY,CLUBS AND SOCIETIES,DEBATING AND PUBLIC SPEAKING,SPEAKERS' CLUB
ANGLICAN HIGH SCHOOL,SECONDARY,CLUBS AND SOCIETIES,ROBOTICS,na
ANGLICAN HIGH SCHOOL,SECONDARY,CLUBS AND SOCIETIES,INFOCOMM TECHNOLOGY (MEDIA PRODUCTION),na
ANGLICAN HIGH SCHOOL,SECONDARY,UNIFORMED GROUPS,SCOUTS,na
ANGLICAN HIGH SCHOOL,SECONDARY,PHYSICAL SPORTS,BADMINTON,na
ANGLICAN HIGH SCHOOL,SECONDARY,PHYSICAL SPORTS,BASKETBALL,na
ANGLICAN HIGH SCHOOL,SECONDARY,PHYSICAL SPORTS,TABLE TENNIS,na
ANGLICAN HIGH SCHOOL,SECONDARY,PHYSICAL SPORTS,WUSHU,na
ANGLICAN HIGH SCHOOL,SECONDARY,UNIFORMED GROUPS,BOYS' BRIGADE,na
