school_name,alp_domain,alp_title,llp_domain1,llp_title1,llp_domain2,llp_title2
ANGLO-CHINESE SCHOOL (JUNIOR),Interdisciplinary,Creative Thinkers,Sports & Outdoor Education,"All for Sports, Sports for All @ ACS (Junior)",NULL,NULL
ANGLO-CHINESE SCHOOL (PRIMARY),NULL,NULL,Sports & Outdoor Education,Building Character Through Sports,Music & Performing Arts/ Visual Arts & Design,The Arts at ACS(P)
ANGSANA PRIMARY SCHOOL,Coding,Nurturing Problem Solvers through Computational Thinking,Community Service & Student Leadership,Nurturing and Developing 21st Century Leaders through Enrichment and Lifeskills (ENL) Programmes,NULL,NULL
ASSUMPTION ENGLISH SCHOOL,Languages & Humanities,Speak English with grAce and Knowledge (SPEAK),Community & Youth Leadership,Community and Youth Leadership,NULL,NULL
BARTLEY SECONDARY SCHOOL,STEM,Chemical and Life Sciences (Perfumery),Community & Youth Leadership,i-LEAD @ Bartley (Leadership Experience and Development),NULL,NULL
BEACON PRIMARY SCHOOL,Science,Stimulating Senses Through Science (S3),Community Service & Student Leadership,Beacons At Your Service,NULL,NULL
BEATTY SECONDARY SCHOOL,STEM,Beattyians Think. Create. Innovate,Community & Youth Leadership,Beatty's Leaders for Life Programme,NULL,NULL
BEDOK GREEN PRIMARY SCHOOL,Interdisciplinary,Environmental Education (E2@BGPS),Sports & Outdoor Education,Sports to Reinforce Values Education or STRIVE @ BGPS,NULL,NULL
BEDOK GREEN SECONDARY SCHOOL,STEM,ilnquire. ilnnovate. Developing scientific thinking and inquiry skills through real-life applications,Music & Performing Arts,PAssion Programme,NULL,NULL
BEDOK SOUTH SECONDARY SCHOOL,Interdisciplinary,Project S.H.I.N.E -- An Integrated Student-Centred and Holistic Programme that Develops Innovation and Nurtures Empathy,Sports & Outdoor Education,SHAPE @ BDS: A School of Healthy And Physically Educated Enthusiasts,NULL,NULL
BEDOK VIEW SECONDARY SCHOOL,Languages & Humanities,Global Awareness for the 21st Century @ BV,Community & Youth Leadership,Good Values @ BV,NULL,NULL
BENDEMEER PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,"Developing Bendemeerians to be Confident Leaders, Rooted in Values",Music & Performing Arts,Bendemeer?s TEMPO (Towards Enhancement of Music and Performing Arts Opportunities)
BENDEMEER SECONDARY SCHOOL,STEM,Making Health Science Alive through Authentic Problem-Based Learning,Community & Youth Leadership,Developing Student Leadership Through Service Learning,NULL,NULL
BLANGAH RISE PRIMARY SCHOOL,STEM,Aspiring Confident Engineers (ACE)@BRPS,Sports & Outdoor Education,"The RISE3 (Explore, Empower, Enrich) Outdoor Experience",NULL,NULL
BOON LAY GARDEN PRIMARY SCHOOL,Interdisciplinary,Thinking curriculum through Habits of Mind @ BLGPS - Developing Self-directed Learners,Community Service & Student Leadership,Environment Education at Boon Lay Garden Primary School,NULL,NULL
BOON LAY SECONDARY SCHOOL,STEM,Exploring Possibilities in Materials Science,Music & Performing Arts,Music & Performing Arts,NULL,NULL
BOWEN SECONDARY SCHOOL,Business & Entrepreneurship,"Nurturing Creativity, Empathy and Enterprise through Social Entrepreneurship",Community & Youth Leadership,Bowen ChANgemakers Programme,NULL,NULL
BROADRICK SECONDARY SCHOOL,STEM,Broadrick Entrepreneurship in STEM,Community & Youth Leadership,"Confidence And REsilience (CARE) though Aesthetics, Community and Youth Leadership",NULL,NULL
BUKIT BATOK SECONDARY SCHOOL,STEM,Developing Proactive Problem-Solvers who care for our World through STEM,Community & Youth Leadership,Developing Community Youth Leadership through VIA - Journey to Become RESPECTful Leaders,NULL,NULL
BUKIT MERAH SECONDARY SCHOOL,STEM,Creative Robotics and Engineering,Sports & Outdoor Education,Character Development & Leadership through Sports,NULL,NULL
BUKIT PANJANG PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,i2 Can Dance!,NULL,NULL
BUKIT TIMAH PRIMARY SCHOOL,Interdisciplinary,Inquiry-based Learning Supported by Thinking Routines,Music & Performing Arts,Music for Everyone - Building Empathy and Resilience,NULL,NULL
BUKIT VIEW PRIMARY SCHOOL,Interdisciplinary,"Developing Thinkers, Collaborators and Communicators",Music & Performing Arts,Nurturing Values and Character through Aesthetics,NULL,NULL
BUKIT VIEW SECONDARY SCHOOL,STEM,Clean Energy and Environmental Technology,Music & Performing Arts,"Learning the Arts, Living the Values",NULL,NULL
CANBERRA PRIMARY SCHOOL,ICT & Media,"Start Young, Start It Right ? Curating My Learning",Music & Performing Arts,Immersing in Canberra Experience through Musical Theatre Education,NULL,NULL
CANBERRA SECONDARY SCHOOL,Aesthetics,Digital Media in Visual Arts,Community & Youth Leadership,Active Holistic Health Advocates (AHHAs) Championing Efforts towards a Healthier Community,NULL,NULL
CANTONMENT PRIMARY SCHOOL,Interdisciplinary,TC@CPS,Music & Performing Arts,PAVE @CPS (Performing Art for Values & Excellence),NULL,NULL
CASUARINA PRIMARY SCHOOL,Science,Nature-Based Education,Visual Arts & Design,Holistic Education through the ARTS at Casuarina Primary School (HE?ARTS@CAPS),NULL,NULL
CATHOLIC HIGH SCHOOL,Science,Coding in Environmental Solutions (CODES),Sports & Outdoor Education,VITALS (Values Infused Through Active Learning in Sports),NULL,NULL
CEDAR PRIMARY SCHOOL,Interdisciplinary,Creative and Inventive Thinking (CIT) Programme,Community Service & Student Leadership,Leadership through Service and Sports,NULL,NULL
CHANGKAT CHANGI SECONDARY SCHOOL,STEM,Programme SOAR (Student centered Opportunities for AeRospace Industry),Community & Youth Leadership,Service and Leadership through School to Nation,NULL,NULL
CHANGKAT PRIMARY SCHOOL,STEM,"Empathetic towards our Earth and Environment, skilful in Computational thinking with the development of Coding skills, and Opportunity seekers with entrepreneurial dare (ECO@CKP)",Sports & Outdoor Education,"Sports, Outdoor, Athletics & Recreation @ Changkat Primary",NULL,NULL
CHIJ (KATONG) PRIMARY,Languages,"Competent, Confident and Respectful Communicators",NULL,Community Student Leadership,NULL,NULL
CHIJ (KELLOCK),Interdisciplinary,Rethinking Possibilities to Serve the Common Good,Music & Performing Arts,ArtsONE+ : Purposeful Learning of Music and Performing Arts Using the Self-regulated Approach,NULL,NULL
CHIJ OUR LADY OF GOOD COUNSEL,Languages,Drama and Literary Arts for LifE! (D?LitE),Community Service & Student Leadership,The PROACTIVE Leader in Me Development Programme,NULL,NULL
CHIJ OUR LADY OF THE NATIVITY,Languages,"LEAPS (Learn, Engage, Articulate & Perform)",Sports & Outdoor Education,OLN SPARK (SPorts Active and Resilient Kids),NULL,NULL
CHIJ OUR LADY QUEEN OF PEACE,Science,Science and Environment Education @ OLQP (SEE @ OLQP),Sports & Outdoor Education,Character Lives In My Behaviour (CLIMB) Through Sports,NULL,NULL
CHIJ PRIMARY (TOA PAYOH),NULL,NULL,Music & Performing Arts,IJ Venture & Values Programme,Sports & Outdoor Education,IJSports
CHIJ ST. JOSEPH'S CONVENT,Languages & Humanities,The Art of Communication through Theatre and Debates,Community & Youth Leadership,Buidling Critical and Creative Thinking through Future-Problem Solving,NULL,NULL
CHIJ ST. NICHOLAS GIRLS' SCHOOL,NULL,NULL,Community Service & Student Leadership,A Leader in Every St Nicks Girl (Student Leadership),NULL,NULL
CHIJ ST. THERESA'S CONVENT,Interdisciplinary,Education For Life ? Developing Portable Skills through and for Real World Problem Solving,Sports & Outdoor Education,"Developing Self-directed, Confident and Resilient Leaders, Learners and Ladies through Sports",NULL,NULL
CHONGFU SCHOOL,NULL,NULL,Sports & Outdoor Education,Growing Character through Sports and Outdoor Education,NULL,NULL
CHONGZHENG PRIMARY SCHOOL,Innovation & Enterprise,EPIC -  Empowering Pupils to Innovate for Community,Community Service & Student Leadership,Chong Zheng Community Leaders (CZCL),NULL,NULL
CHRIST CHURCH SECONDARY SCHOOL,STEM,Developing 21st Century Competencies through an Inquiry approach  in Health Science and Technology,Sports & Outdoor Education,Developing Social Emotional Learning Competencies through Outdoor Adventure Learning,NULL,NULL
CHUA CHU KANG PRIMARY SCHOOL,Coding,Creative Problem Solving through Robotics,Community Service & Student Leadership,A Confident & Caring Leader - Leading Through C.A.R.E,NULL,NULL
CHUA CHU KANG SECONDARY SCHOOL,STEM,Robotics & Automation for a Better Tomorrow,Community & Youth Leadership,Student Leadership,NULL,NULL
CHUNG CHENG HIGH SCHOOL (YISHUN),STEM,Food and Science Technology,Music & Performing Arts,Cultivating Values Through Aesthetics,NULL,NULL
CLEMENTI PRIMARY SCHOOL,NULL,NULL,Visual Arts & Design,Instilling Lifelong Learning Through Visual Arts,NULL,NULL
CLEMENTI TOWN SECONDARY SCHOOL,STEM,CODE: COmputing to Discover and Empower,Community & Youth Leadership,Leadership Development through Uniformed Groups,NULL,NULL
COMPASSVALE PRIMARY SCHOOL,Coding,Inculcating 21st Century Competencies Through Robotics in Math & Science Curriculum,Music & Performing Arts,Developing Aesthetics Appreciation  Through Music Empowerment,NULL,NULL
COMPASSVALE SECONDARY SCHOOL,STEM,Aeronautics Applied Learning Programme,Community & Youth Leadership,Inspired North Stars Inspire Actions,NULL,NULL
CONCORD PRIMARY SCHOOL,Interdisciplinary,"E3 Reasoning (Enable, Enrich and Empower) @ Concord",Sports & Outdoor Education,Outdoor Education@Concord,NULL,NULL
CORPORATION PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,Creativity Through Dance,NULL,NULL
DAMAI PRIMARY SCHOOL,NULL,NULL,Sports & Outdoor Education,SPARKS@Play Programme,Music & Performing Arts,Empowering Learners Through the Arts
DAMAI SECONDARY SCHOOL,STEM,Environmental & Health Sciences,Sports & Outdoor Education,"Character, Citizenship and Leadership Development through Water Sports",NULL,NULL
DAZHONG PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,Developing 21st CC through Arts Education Programme @ Dazhong (AEP@D),NULL,NULL
DE LA SALLE SCHOOL,NULL,NULL,Community Service & Student Leadership,Positive Education@DLS: Nurturing Mindful Servant Leaders,NULL,NULL
DEYI SECONDARY SCHOOL,Languages & Humanities,"Pen it down, Mike it up!",Music & Performing Arts,Nurturing Confident Communicators and Gracious Citizens through the Arts,NULL,NULL
DUNEARN SECONDARY SCHOOL,STEM,FSciTech: Developing Dunearnites as confident and creative young scientists through Food Science and Technology,Community & Youth Leadership,Every Dunearnite a Community Youth Leader,NULL,NULL
EAST SPRING PRIMARY SCHOOL,ICT & Media,Digital Creativity @ ESPS,Sports & Outdoor Education,SPRING for Life ? Developing Character through Sports,NULL,NULL
EAST SPRING SECONDARY SCHOOL,STEM,21st Century Innovators through Health Science,Community & Youth Leadership,Every Student a Leader Through Service,NULL,NULL
EDGEFIELD PRIMARY SCHOOL,Science,Environmental Science and Sustainability,Music & Performing Arts,Values Inculcation through the Aesthetics,NULL,NULL
EDGEFIELD SECONDARY SCHOOL,Business & Entrepreneurship,Growing the Entrepreneurial Mindset (GEM),Sports & Outdoor Education,Character Education Through Sports (Anchored on Taekwondo),NULL,NULL
ELIAS PARK PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,Character In Action @ EPPS,Music & Performing Arts,Arts Creatively Expressed @ Elias - ACE@Elias
ENDEAVOUR PRIMARY SCHOOL,Interdisciplinary,Nurturing Thinkers through Knowledge Building Practices,Music & Performing Arts,Every Child A Performer (ECAP),NULL,NULL
EUNOS PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,Student Development in the Arts and through the Arts,NULL,NULL
EVERGREEN PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,Learning Through the Arts & Learning In the Arts,NULL,NULL
EVERGREEN SECONDARY SCHOOL,Languages & Humanities,"Developing Effective Communicators, Caring Leaders and Inventive Thinking through National Education",Sports & Outdoor Education,Strengthening Resilience and Character through Leadership and Sports Education,NULL,NULL
FAIRFIELD METHODIST SCHOOL (PRIMARY),Languages,SPEAK (School-wide Programme to Enhance Articulateness among Kids): Pathways to Oracy,Music & Performing Arts,HeARTS - Developing empathy and building social awareness through the ARTS,NULL,NULL
FAJAR SECONDARY SCHOOL,STEM,Sustainability through 21st Century Applied Critical and Inventive Thinking Skills (ACIT),Community & Youth Leadership,Rise to Lead,NULL,NULL
FARRER PARK PRIMARY SCHOOL,Languages,Drama in Education (iDREaM),Community Service & Student Leadership,iCARE - Leaders of Tomorrow,NULL,NULL
FENGSHAN PRIMARY SCHOOL,NULL,NULL,Sports & Outdoor Education,Anchored and Driven Leaders through Sports Excellence,NULL,NULL
FERNVALE PRIMARY SCHOOL,Science,Future Skills Programme,Community Service & Student Leadership,"Greenova - To nurture, innovative, responsible, young environmentalists who love and care for the environment",NULL,NULL
FIRST TOA PAYOH PRIMARY SCHOOL,NULL,First Clicks - Literacy Through Photography (Visual Arts & Design),Sports & Outdoor Education,Character Building Through Outdoor Experiential Learning,NULL,NULL
FRONTIER PRIMARY SCHOOL,Languages,Frontier?s Approach to Communicating Effectively,Music & Performing Arts,danceFRONT,NULL,NULL
FUCHUN PRIMARY SCHOOL,Languages,Speak Up! at Fuchun,Music & Performing Arts,Aesthetically Responding To Shine (ARTS),NULL,NULL
FUCHUN SECONDARY SCHOOL,STEM,Innovations in Science & Technology for Sustain-Ability,Music & Performing Arts,Values Through Dance,NULL,NULL
FUHUA PRIMARY SCHOOL,Coding,Students As Designers for the 21st Century,Community Service & Student Leadership,Environmental Champions @ FHPS Programme,NULL,NULL
FUHUA SECONDARY SCHOOL,STEM,Forensic Science@Fuhua,Community & Youth Leadership,"Values in Action, Leadership through Service",NULL,NULL
GAN ENG SENG PRIMARY SCHOOL,Interdisciplinary,From Farm to Table,Music & Performing Arts,"Nurturing Aesthetics and Values Development in Children through Band, Choir and Performing Arts",NULL,NULL
GAN ENG SENG SCHOOL,STEM,GESS Probes Programme,Community & Youth Leadership,GESS LIFE Programme,NULL,NULL
GEYLANG METHODIST SCHOOL (PRIMARY),NULL,NULL,Community Service & Student Leadership,"GM Earth Warriors Environment Education (EE): To Develop Student Leaders who Empathise, Enrich and Empower",NULL,NULL
GEYLANG METHODIST SCHOOL (SECONDARY),STEM,Environmental Science and Sustainable Living,Community & Youth Leadership,Nurturing Confident and Compassionate Leaders via Values-in-Action,NULL,NULL
GONGSHANG PRIMARY SCHOOL,NULL,NULL,Sports & Outdoor Education,Character Through Sports,NULL,NULL
GREENDALE PRIMARY SCHOOL,Interdisciplinary,Developing Critical and Inventive Thinking Skills through Toy Design,Sports & Outdoor Education,Developing 21st Century Lifelong Learners through Outdoor Education,NULL,NULL
GREENDALE SECONDARY SCHOOL,STEM,SMART Living: Design. Code. Build,Sports & Outdoor Education,Character Development through Outdoor and Adventure Education,NULL,NULL
GREENRIDGE PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,NE2+ (positive): Nurturing Ethical and Effective Leaders with Positive mind-sets,NULL,NULL
GREENRIDGE SECONDARY SCHOOL,Languages & Humanities,The Use of Media in Engaging 21st Century Learners in the English Language Classroom -- Camera. Lights. Action. Programme (CLAP),Music & Performing Arts / Visual Arts & Design,"Developing Creative and Confident persons, impacting the community through the Arts",NULL,NULL
GREENWOOD PRIMARY SCHOOL,Languages,Bilingual LIterature Appreciation Student Series (BLISS),Community Service & Student Leadership,"WHIZZ - We are Thinking, Inventive and Zealous KIdZ to serve the community",NULL,NULL
GUANGYANG PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,"LIVE YOUR PASSION ? developing life-long learners with a passion for Music, Dance and Drama",NULL,NULL
GUANGYANG SECONDARY SCHOOL,STEM,Environmental Science for Sustainable Living,Music & Performing Arts,heARTbeat -- Art for Life,NULL,NULL
HAI SING CATHOLIC SCHOOL,STEM,Applied Learning in Robotics and Engineering,Community & Youth Leadership,Developing Leadership Competencies in Every HaiSian,NULL,NULL
HAIG GIRLS' SCHOOL,Interdisciplinary,Innovation and Service Learning through Integrated Project Work (IPW@HGS),Music & Performing Arts,Character and Leadership through the Performing and Visual Arts,NULL,NULL
HENRY PARK PRIMARY SCHOOL,Science,Science for Life @ HPPS,Sports & Outdoor Education,Sports4Life @ HHPS,NULL,NULL
HILLGROVE SECONDARY SCHOOL,STEM,Broadening our Learning Horizons through Flight and Aerospace,Music & Performing Arts,Nurturing Confident and Passionate Hillgrovians through the Arts,NULL,NULL
HOLY INNOCENTS' HIGH SCHOOL,Languages,Journalism and Broadcasting -- Developing Critical Thinkers and Confident Communicators,Community & Youth Leadership,Good Samaritan Programme,NULL,NULL
HOLY INNOCENTS' PRIMARY SCHOOL,Coding,Digiminds@HIPS,Music & Performing Arts,ARTistry@HIPS,NULL,NULL
HONG WEN SCHOOL,NULL,NULL,Sports & Outdoor Education,Developing 21st Century Learners Holistically through Sports and Games,Community Service & Student Leadership,Everyone A Gracious LEader who contributes to Society (EAGLES)
HORIZON PRIMARY SCHOOL,Mathematics,Computational Thinking in Mathematics,Community Service & Student Leadership,I-LEAD ? A Whole School Student Leadership Development Programme,NULL,NULL
HOUGANG PRIMARY SCHOOL,Science,"X-Cell in Science@HGP ? eXperiment, eXplore, eXperience",Sports & Outdoor Education,Character Development through Outdoor Adventure Education (OAE),NULL,NULL
HOUGANG SECONDARY SCHOOL,Languages & Humanities,English Communication Skills through Authentic Learning,Community & Youth Leadership,"GRC (Gratitude, Respect & Compassion) in Action, a Hougean way of life",NULL,NULL
HUA YI SECONDARY SCHOOL,STEM,Health Sciences: Healthcare technologies for the elderly,Community & Youth Leadership,Community and Youth Leadership in Hua Yi,NULL,NULL
HUAMIN PRIMARY SCHOOL,Interdisciplinary,Education for Sustainable Development (ESD @ Huamin),NULL,Creative Arts Programme for Students (C.A.P.S.),NULL,NULL
INNOVA PRIMARY SCHOOL,Interdisciplinary,Creative Problem Solving (CPS) Programme: CPS@IPS for the Holistic Development of a 21st Century Child in Innova Primary School,Community Service & Student Leadership,Leading Through Serving,NULL,NULL
JIEMIN PRIMARY SCHOOL,Languages,J-YEAR (Jiemin- Young Editors And Reporters ),Music & Performing Arts/ Visual Arts & Design,Aesthetics Alive,NULL,NULL
JING SHAN PRIMARY SCHOOL,Science,"Learning Science ? the I3 (Inquiry, ICT & Innovation) Approach",Community Service & Student Leadership,"FLOURISH @ JSPS ? Developing Character Strengths, Resilience & Mindfulness through VIA",NULL,NULL
JUNYUAN PRIMARY SCHOOL,Languages,Developing Every Pupil into a Confident Communicator,Music & Performing Arts,"Mind, Body and Soul",NULL,NULL
JUNYUAN SECONDARY SCHOOL,STEM,Developing Application-based Learning through Food Science,Community & Youth Leadership,Cultivating Community Champions through Youth Leadership,NULL,NULL
JURONG PRIMARY SCHOOL,NULL,NULL,Sports & Outdoor Education,Every Child a Leader @ JPS (ECAL @ JPS),NULL,NULL
JURONG SECONDARY SCHOOL,Languages & Humanities,Environmental Studies: An Inter-disciplinary Approach To Sustainable Urban Living,Sports & Outdoor Education,"Sporty at Heart, Sporting in Mind",NULL,NULL
JURONG WEST PRIMARY SCHOOL,Languages,Art of Communication for Personal Excellence,Sports & Outdoor Education,Experiential Learning of Lifeskills for Personal Excellence,NULL,NULL
JURONG WEST SECONDARY SCHOOL,Aesthetics,"Harnessing Technology, Communication and the Visual Arts in Authentic Contexts",Community & Youth Leadership,"Developing Character, Leadership and Citizenship",NULL,NULL
JURONGVILLE SECONDARY SCHOOL,STEM,Real World Learning through Electronics,Sports & Outdoor Education,"Sports for Life - Character Education through Sports Exposure, Sports Empowerment and Sports Excellence",NULL,NULL
JUYING PRIMARY SCHOOL,Interdisciplinary,ThINKabits,Community Service & Student Leadership,Environmental Education,NULL,NULL
JUYING SECONDARY SCHOOL,Languages & Humanities,Developing Confident & Competent Communicators through Oracy Skills Programme,Music & Performing Arts,"Performing Arts : ?iACE@Juying? (I Appreciate, I Create, I Exhibit at Juying)",NULL,NULL
KEMING PRIMARY SCHOOL,Science,INquiry Science Projects Involving Research and Experiments (I.N.S.P.I.R.E. the Scientist in Me),Sports & Outdoor Education,Sports4All@Keming: Character Development through Sports,NULL,NULL
KENT RIDGE SECONDARY SCHOOL,STEM,Developing Computational Thinking through Robotics,Sports & Outdoor Education,EVOKE!@KR (Educational Values of Olympism at Kent Ridge) through Sports and Outdoor Education,NULL,NULL
KHENG CHENG SCHOOL,NULL,NULL,Community Service & Student Leadership,Student Voice & Advocacy (SVA) @ KCS,NULL,NULL
KONG HWA SCHOOL,Languages,Every Pupil an Effective Communicator,Sports & Outdoor Education,Exposure-Experience-Excel through Sports,NULL,NULL
KRANJI PRIMARY SCHOOL,Science,Nurturing Joyful Learners through Critical and Inventive Thinking,Sports & Outdoor Education,Developing Champions in Life through Sports,NULL,NULL
KRANJI SECONDARY SCHOOL,Interdisciplinary,Nurturing Communities of Reflective and Independent Learners through Thinking Curriculum,Community & Youth Leadership,Nurturing a Leader in Every Kranjian through Community and Youth Leadership,NULL,NULL
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,Languages,"E-Cube: Engage, Excite, Express",Visual Arts & Design,Learning for Life in Art and Design,NULL,NULL
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,Languages & Humanities,"Participate, Access/ Analyse, Create, Evaluate (P.A.C.E) in KCPSS Media Literacy Programme",Community & Youth Leadership,Every KCPian a Servant Leader,NULL,NULL
LAKESIDE PRIMARY SCHOOL,Interdisciplinary,ThInkers with Heart,Music & Performing Arts,ARTS De La Sc?ne,NULL,NULL
LIANHUA PRIMARY SCHOOL,Coding,Robotics Project Work,Sports & Outdoor Education,VIA through Sports,NULL,NULL
LOYANG VIEW SECONDARY SCHOOL,STEM,Design and Engineering,Sports & Outdoor Education,Sports and Outdoor Education,NULL,NULL
MAHA BODHI SCHOOL,Languages,Empathetic Listeners. Effective Communicators. Trailblazing Advocates (ELECTRA@MBS),Music & Performing Arts,Learning through an Ethnic Arts Programme (LEAP),NULL,NULL
MANJUSRI SECONDARY SCHOOL,STEM,Building Smart Homes with a Big Heart,Music & Performing Arts,Learning through the ARTS,NULL,NULL
MARIS STELLA HIGH SCHOOL,NULL,NULL,Sports & Outdoor Education,The Marist Sports & Life Skills Experience,NULL,NULL
MARSILING PRIMARY SCHOOL,Languages,"Spark Ideas, Spark Interest, Spark Action: Igniting A Passion for Purposeful Storytelling (SPARKS@MPS)",Community Service & Student Leadership,"LEAD (Learn, Engage, Absorb, Demonstrate) to Serve @ MPS",NULL,NULL
MARSILING SECONDARY SCHOOL,STEM,Eco-sustainability through Inquiry-Based Learning,Sports & Outdoor Education,Values and Character Building through Outdoor Curriculum (VALOUR),NULL,NULL
MARYMOUNT CONVENT SCHOOL,NULL,NULL,Sports & Outdoor Education,Sports Excellence (SPEX) @ Marymount,Music & Performing Arts/ Visual Arts & Design,Grooming Cultured and Refined Ladies through the Aesthetics
MAYFLOWER PRIMARY SCHOOL,Science,STEM@MFPS,Music & Performing Arts,"LLP@MFPS: Development of Character, Citizenship and 21CC in and through the Arts",NULL,NULL
MAYFLOWER SECONDARY SCHOOL,Languages & Humanities,Developing confidence and curiosity through effective communication,Music & Performing Arts,Developing a zest for life through aesthetics,NULL,NULL
MEE TOH SCHOOL,Interdisciplinary,"Educate, Engage and Empower Eco-Citizens @MTS",Sports & Outdoor Education,SENCE @ MTS,NULL,NULL
MERIDIAN PRIMARY SCHOOL,Interdisciplinary,"Nurturing Future Learners, Citizens and Leaders through a whole school interdisciplinary approach in Eco-Environmental Curriculum",Community Service & Student Leadership,Meridian Values-Based Student Leadership In Action For 21CC,NULL,NULL
MERIDIAN SECONDARY SCHOOL,Aesthetics,Aesthetics,Community & Youth Leadership,Community and Youth Leadership,NULL,NULL
METHODIST GIRLS' SCHOOL (PRIMARY),Languages,Language and Communication,Sports & Outdoor Education,Outdoor and Sports Programme at MGS,NULL,NULL
MONTFORT JUNIOR SCHOOL,Science,"Developing Future Ready Monfortians: I Dream, I Believe, I Make",Sports & Outdoor Education,Character Matters: Developing Montfortians with CHRISTE values through sports,NULL,NULL
MONTFORT SECONDARY SCHOOL,STEM,"Made In Montfort ? Design, Code, Make",Sports & Outdoor Education,Student Leadership through Outdoor Adventure & Sports,NULL,NULL
NAN CHIAU HIGH SCHOOL,STEM,Electronics in Health Sciences and Health Care Technology,Music & Performing Arts,"Enhancing Expression, Creativity and Aesthetics Appreciation (ECAA) through the ARTS (Drama, Puppetry and Creative Lyrics Composition)",NULL,NULL
NAN CHIAU PRIMARY SCHOOL,Interdisciplinary,Applied Learning@NCPS through Project Work,Community Service & Student Leadership,Watch Me Soar (Student Leadership LLP - A Whole School Approach),NULL,NULL
NAN HUA PRIMARY SCHOOL,Interdisciplinary,NHPS Thinking Programme,na,From ME to WE: Forging the Path to Purpose,NULL,NULL
NANYANG PRIMARY SCHOOL,Innovation & Enterprise,Problem-Solving Through Maker Education,Music & Performing Arts,Building Cultural Quotience Through Dance,NULL,NULL
NAVAL BASE PRIMARY SCHOOL,NULL,NULL,Sports & Outdoor Education,Holistic Outdoor Physical Education & Sports (HOPES) Programmes,NULL,NULL
NAVAL BASE SECONDARY SCHOOL,Aesthetics,Applied Learning in Art,Sports & Outdoor Education,"Character Education through Sports Awareness, Commitment and Empowerment (SpACE)",NULL,NULL
NEW TOWN PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,A Leader in Every Child,NULL,NULL
NEW TOWN SECONDARY SCHOOL,Aesthetics,Developing critical and inventive thinkers through visual communication,Community & Youth Leadership,"Developing Confident & Compassionate Student Leaders to Lead, Serve & Excel",NULL,NULL
NGEE ANN PRIMARY SCHOOL,NULL,NULL,Music & Performing Arts,"GRACE (Graciousness through Arts, Creating Excellence) in Performing Arts Programme",NULL,NULL
NORTH SPRING PRIMARY SCHOOL,NULL,NULL,Community Service & Student Leadership,NSPS CCE Learning Experience ? A Holistic and Engaging Approach,Sports & Outdoor Education,Play Your Hearts Out @  North Spring
